job_id,experience_min,experience_max,salary_min,salary_max,salary_avg,experience_avg,job_level,year,month,quarter,day,location_list,region,accounting,reporting,finance,management,monitoring,inspection,english,accounting software,excel,misa,fast,sap,erp,accounts payable,reconciliation,audit,inventory checking,tax finalization,cash inflow/outflow,analysis,communication,teamwork,honesty,careful,responsibility,proactiveness,work under pressure,detail oriented,num_hard,num_software,num_soft
35C64351,3.0,10.0,20000000.0,45000000.0,32500000.0,6.5,Manager,2025,12,4,30,Dong Nai,South,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,6,3,3
35C64351,3.0,10.0,20000000.0,45000000.0,32500000.0,6.5,Manager,2025,12,4,30,Ho Chi Minh,South,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,6,3,3
35C69D84,3.0,5.0,25000000.0,30000000.0,27500000.0,4.0,Senior,2026,2,1,27,Ho Chi Minh,South,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,3,2
35C69AB4,2.0,3.0,15000000.0,25000000.0,20000000.0,2.5,Senior,2026,2,1,26,Ho Chi Minh,South,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,6,1,4
35C6C694,2.0,5.0,0.0,1000.0,500.0,3.5,Senior,2026,3,1,13,Ho Chi Minh,South,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,4,2,2
35C699AA,5.0,7.0,30000000.0,40000000.0,35000000.0,6.0,Manager,2026,2,1,26,Ha Noi,North,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,5,2
35C6B5B9,2.0,3.0,12000000.0,16000000.0,14000000.0,2.5,Senior,2026,3,1,7,Ho Chi Minh,South,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,2
35C6C17C,2.0,3.0,13000000.0,15000000.0,14000000.0,2.5,Senior,2026,3,1,11,Ho Chi Minh,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,5
35C6BD7A,2.0,3.0,15000000.0,18000000.0,16500000.0,2.5,Senior,2026,3,1,10,Ho Chi Minh,South,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,4,0,4
35C6B94F,2.0,3.0,15000000.0,20000000.0,17500000.0,2.5,Senior,2026,3,1,9,Ha Noi,North,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,2,1,5
35C6AC2E,2.0,3.0,10000000.0,15000000.0,12500000.0,2.5,Senior,2026,3,1,4,Ha Noi,North,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,3,1,3
35C6A037,2.0,3.0,0.0,16000000.0,8000000.0,2.5,Senior,2026,2,1,27,Ha Noi,North,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1
35C6B664,2.0,3.0,10000000.0,15000000.0,12500000.0,2.5,Senior,2026,3,1,7,Ha Noi,North,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0
35C68F38,2.0,3.0,18000000.0,36000000.0,27000000.0,2.5,Senior,2026,2,1,23,Ha Noi,North,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1
35C68F38,2.0,3.0,18000000.0,36000000.0,27000000.0,2.5,Senior,2026,2,1,23,Ho Chi Minh,South,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1
35C6C807,3.0,4.0,15000000.0,17000000.0,16000000.0,3.5,Senior,2026,3,1,13,Ha Noi,North,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
35C69440,3.0,15.0,18000000.0,20000000.0,19000000.0,9.0,Manager,2026,2,1,24,Ha Noi,North,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,5,3,3
35C658CA,3.0,5.0,18000000.0,25000000.0,21500000.0,4.0,Senior,2026,1,1,14,Ho Chi Minh,South,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,3,0,4
35C6712B,2.0,3.0,12000000.0,16000000.0,14000000.0,2.5,Senior,2026,1,1,30,Ho Chi Minh,South,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,2,4
35C642DE,2.0,5.0,15000000.0,25000000.0,20000000.0,3.5,Senior,2025,12,4,30,Dong Nai,South,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,3,3
35C6A40A,2.0,5.0,15000000.0,25000000.0,20000000.0,3.5,Senior,2026,3,1,2,Ho Chi Minh,South,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,5,0,3
35C685AC,2.0,4.0,14000000.0,16000000.0,15000000.0,3.0,Senior,2026,2,1,10,Ho Chi Minh,South,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1
35C6C217,1.0,3.0,10000000.0,15000000.0,12500000.0,2.0,Junior,2026,3,1,12,Ho Chi Minh,South,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,4,2,4
35C6A6FA,2.0,9.0,14000000.0,18000000.0,16000000.0,5.5,Manager,2026,3,1,2,Ho Chi Minh,South,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,7,1,3
35C6A48F,5.0,8.0,20000000.0,30000000.0,25000000.0,6.5,Manager,2026,3,1,2,Ho Chi Minh,South,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,7,5,4
35C69BAC,5.0,7.0,20000000.0,30000000.0,25000000.0,6.0,Manager,2026,3,1,3,Ho Chi Minh,South,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1
35C69497,4.0,5.0,17000000.0,21000000.0,19000000.0,4.5,Manager,2026,2,1,25,Ha Noi,North,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5,1,1
